Word,Freq
desperation,43
seized,459
perfection,130
rash,70
unjustifiable,13
delineated,8
unhappy,316
brighter,57
speculative,17
riches,196
secretly,105
congratulate,65
perceptible,67
noticed,473
rival,167
incurred,34
annexed,18
assigned,55
actually,400
opposition,143
hindrance,25
opposed,82
successful,239
beheld,263
mild,154
oppression,62
gloominess,4
dropped,560
hints,77
injuries,66
disappointments,36
justified,146
belief,235
compassion,167
esteemed,54
slighted,19
prejudiced,29
undervalue,4
speaks,133
nobody,478
cares,156
remembers,33
boast,126
injustice,86
taking,1211
converse,65
patronised,2
indignity,20
abuse,85
amends,47
undiscerning,4
defence,158
protege,2
saucy,16
thinking,801
information,434
various,527
contemptuously,35
east,626
indies,61
climate,98
hot,866
mosquitoes,15
troublesome,58
previously,123
observations,125
nabobs,2
gold,1502
mohrs,1
palanquins,12
stretched,418
candour,30
employ,137
coats,107
brilliancy,36
decide,151
imperfections,6
mass,309
comparatively,122
insipid,24
gentle,386
possessing,30
using,184
unkindly,13
endeavouring,89
disarm,20
reason,1488
stubborn,70
